County,Notes,Date_of_Exposure,Timeframe,Location_Name,Address,City,State,Zip_Code,Guidance,Reported_By,Source,Location_Type,Monitor_for_Symptoms_Until,column14,column15,ObjectId,Status,Score,Match_addr,Addr_type,geometry,OBJECTID
Loudoun,"The Virginia Department of Health (VDH) was notified of two additional confirmed cases of measles that traveled through Northern Virginia Wednesday, March 5 and Friday, March 14. Both people are Maryland residents who recently traveled together internationally. Health officials are coordinating an effort to identify people who might have been exposed, including contacting potentially exposed passengers on specific flights.

",2025-03-05T05:00:00Z,8:00am–12:30pm,"Dulles International Airport (Concourse A, transit to IAB, baggage claim)",1 Saarinen Circle,Dulles,VA,20166,"What should you do if you were at the above locations on the day and time specified?

If you have never received a measles containing vaccine (either the measles, mumps and rubella [MMR] vaccine or a measles-only vaccine which is available in other countries), you may be at risk of developing measles. Anyone who was exposed and considered to be at risk of developing measles should contact their healthcare provider immediately.
Watch for symptoms for 21 days from the date of your potential exposure. If you notice symptoms of measles, immediately isolate yourself by staying home. Contact your healthcare provider right away. Call ahead before going to your healthcare provider’s office or the emergency room to notify them that you may have been exposed to measles and ask them to call the local health department. This call will help protect other patients and staff.
Anyone with an immunocompromising condition should consult with their healthcare provider if they have questions or develop symptoms.
If you have received two doses of a measles-containing vaccine, or were born before 1957, you are protected and do not need to take any action.
If you have received only one dose of a measles-containing vaccine, you are very likely to be protected and your risk of being infected with measles from any of these exposures is very low. However, to achieve the highest level of protection, contact your healthcare provider about getting a second vaccine dose.
Measles is a highly contagious illness that can spread easily through the air when an infected person breathes, coughs, or sneezes. Measles symptoms usually appear in two stages. In the first stage, most people have a fever of greater than 101 degrees, runny nose, watery red eyes, and a cough. These symptoms usually start seven to fourteen days after being exposed. The second stage starts three to five days after symptoms start, when a rash begins to appear on the face and spread to the rest of the body. People with measles are contagious from four days before the rash appears through four days after the rash appeared.

Measles is preventable through a safe and effective MMR vaccine. Two doses of the vaccine are given to provide lifetime protection. Virginia has high measles vaccination rates, with approximately 95% of kindergarteners fully vaccinated against measles. However, infants who are too young to be vaccinated, and others who are not vaccinated, are very susceptible to infection if they are exposed to measles. Infants six months through 11 months of age who will be traveling internationally, or to an outbreak setting, should receive one dose of MMR vaccine prior to travel. Talk to your healthcare provider if you have questions about the MMR vaccine.

To check your immunization status, call your healthcare provider or request records from the VDH Immunization Record Request Form. For additional information, contact your local health department.

Virginia residents with additional questions about their potential exposure can call VDH at (804) 363-2704 or email epi_response@vdh.virginia.gov. For more information about measles visit www.vdh.virginia.gov/measles/",Virginia Department of Health,https://www.fairfaxcounty.gov/health/vdh-news-release-virginia-health-officials-investigating-additional-potential-measles-exposures-northern-virginia,Airport,2025-03-26T04:00:00Z,NA,NA,116,M,100,"1 Saarinen Cir, Sterling, Virginia, 20166",PointAddress,"c(-8621433.5223, 4714869.456)",116
Loudoun,"The Virginia Department of Health (VDH) was notified of two additional confirmed cases of measles that traveled through Northern Virginia Wednesday, March 5 and Friday, March 14. Both people are Maryland residents who recently traveled together internationally. Health officials are coordinating an effort to identify people who might have been exposed, including contacting potentially exposed passengers on specific flights.

",2025-03-05T05:00:00Z,4:00pm–9:00pm,"Dulles International Airport (Concourse A, on transportation to the main terminal and in the baggage claim area)",1 Saarinen Circle,Dulles,VA,20166,"What should you do if you were at the above locations on the day and time specified?

If you have never received a measles containing vaccine (either the measles, mumps and rubella [MMR] vaccine or a measles-only vaccine which is available in other countries), you may be at risk of developing measles. Anyone who was exposed and considered to be at risk of developing measles should contact their healthcare provider immediately.
Watch for symptoms for 21 days from the date of your potential exposure. If you notice symptoms of measles, immediately isolate yourself by staying home. Contact your healthcare provider right away. Call ahead before going to your healthcare provider’s office or the emergency room to notify them that you may have been exposed to measles and ask them to call the local health department. This call will help protect other patients and staff.
Anyone with an immunocompromising condition should consult with their healthcare provider if they have questions or develop symptoms.
If you have received two doses of a measles-containing vaccine, or were born before 1957, you are protected and do not need to take any action.
If you have received only one dose of a measles-containing vaccine, you are very likely to be protected and your risk of being infected with measles from any of these exposures is very low. However, to achieve the highest level of protection, contact your healthcare provider about getting a second vaccine dose.
Measles is a highly contagious illness that can spread easily through the air when an infected person breathes, coughs, or sneezes. Measles symptoms usually appear in two stages. In the first stage, most people have a fever of greater than 101 degrees, runny nose, watery red eyes, and a cough. These symptoms usually start seven to fourteen days after being exposed. The second stage starts three to five days after symptoms start, when a rash begins to appear on the face and spread to the rest of the body. People with measles are contagious from four days before the rash appears through four days after the rash appeared.

Measles is preventable through a safe and effective MMR vaccine. Two doses of the vaccine are given to provide lifetime protection. Virginia has high measles vaccination rates, with approximately 95% of kindergarteners fully vaccinated against measles. However, infants who are too young to be vaccinated, and others who are not vaccinated, are very susceptible to infection if they are exposed to measles. Infants six months through 11 months of age who will be traveling internationally, or to an outbreak setting, should receive one dose of MMR vaccine prior to travel. Talk to your healthcare provider if you have questions about the MMR vaccine.

To check your immunization status, call your healthcare provider or request records from the VDH Immunization Record Request Form. For additional information, contact your local health department.

Virginia residents with additional questions about their potential exposure can call VDH at (804) 363-2704 or email epi_response@vdh.virginia.gov. For more information about measles visit www.vdh.virginia.gov/measles/",Virginia Department of Health,https://www.fairfaxcounty.gov/health/vdh-news-release-virginia-health-officials-investigating-additional-potential-measles-exposures-northern-virginia,Airport,2025-03-26T04:00:00Z,NA,NA,117,M,100,"1 Saarinen Cir, Sterling, Virginia, 20166",PointAddress,"c(-8621433.5223, 4714869.456)",117
Arlington,"The Virginia Department of Health (VDH) was notified of two additional confirmed cases of measles that traveled through Northern Virginia Wednesday, March 5 and Friday, March 14. Both people are Maryland residents who recently traveled together internationally. Health officials are coordinating an effort to identify people who might have been exposed, including contacting potentially exposed passengers on specific flights.

",2025-03-14T04:00:00Z,12:00pm–2:30pm,Ronald Reagan National Airport (Terminal Shuttle Bus),2401 Smith Blvd,Arlington,VA,22202,"What should you do if you were at the above locations on the day and time specified?

If you have never received a measles containing vaccine (either the measles, mumps and rubella [MMR] vaccine or a measles-only vaccine which is available in other countries), you may be at risk of developing measles. Anyone who was exposed and considered to be at risk of developing measles should contact their healthcare provider immediately.
Watch for symptoms for 21 days from the date of your potential exposure. If you notice symptoms of measles, immediately isolate yourself by staying home. Contact your healthcare provider right away. Call ahead before going to your healthcare provider’s office or the emergency room to notify them that you may have been exposed to measles and ask them to call the local health department. This call will help protect other patients and staff.
Anyone with an immunocompromising condition should consult with their healthcare provider if they have questions or develop symptoms.
If you have received two doses of a measles-containing vaccine, or were born before 1957, you are protected and do not need to take any action.
If you have received only one dose of a measles-containing vaccine, you are very likely to be protected and your risk of being infected with measles from any of these exposures is very low. However, to achieve the highest level of protection, contact your healthcare provider about getting a second vaccine dose.
Measles is a highly contagious illness that can spread easily through the air when an infected person breathes, coughs, or sneezes. Measles symptoms usually appear in two stages. In the first stage, most people have a fever of greater than 101 degrees, runny nose, watery red eyes, and a cough. These symptoms usually start seven to fourteen days after being exposed. The second stage starts three to five days after symptoms start, when a rash begins to appear on the face and spread to the rest of the body. People with measles are contagious from four days before the rash appears through four days after the rash appeared.

Measles is preventable through a safe and effective MMR vaccine. Two doses of the vaccine are given to provide lifetime protection. Virginia has high measles vaccination rates, with approximately 95% of kindergarteners fully vaccinated against measles. However, infants who are too young to be vaccinated, and others who are not vaccinated, are very susceptible to infection if they are exposed to measles. Infants six months through 11 months of age who will be traveling internationally, or to an outbreak setting, should receive one dose of MMR vaccine prior to travel. Talk to your healthcare provider if you have questions about the MMR vaccine.

To check your immunization status, call your healthcare provider or request records from the VDH Immunization Record Request Form. For additional information, contact your local health department.

Virginia residents with additional questions about their potential exposure can call VDH at (804) 363-2704 or email epi_response@vdh.virginia.gov. For more information about measles visit www.vdh.virginia.gov/measles/",Virginia Department of Health,https://www.fairfaxcounty.gov/health/vdh-news-release-virginia-health-officials-investigating-additional-potential-measles-exposures-northern-virginia,Airport Shuttle,2025-04-04T04:00:00Z,NA,NA,118,M,100,"2401 Smith Blvd, Arlington, Virginia, 22202",PointAddress,"c(-8576333.7628, 4700555.8532)",118
Loudoun,"The Maryland Department of Health and Howard County health officials announced today a positive case of measles in a Howard County resident who recently traveled internationally. This case is not associated with the measles outbreak in Texas and New Mexico. Out of an abundance of caution, health officials are coordinating an effort to identify people who might have been exposed, including contacting potentially exposed passengers on specific flights.",2025-03-05T05:00:00Z,4:00pm–9:00pm,"Washington Dulles International Airport (Terminal A, on transportation to the main terminal and in the baggage claim area)",1 Saarinen Circle,Dulles,VA,20166,"People, especially those not vaccinated or otherwise immune to measles, who were at any of these locations during the possible exposure times should monitor themselves for any early symptoms of measles for 21 days after the potential exposure. People who develop a fever or other symptoms of measles should not go to childcare, school, work, or out in public, and should contact their health care provider. They should call their health care provider first rather than showing up in the waiting room or emergency room so that the office can take measures to prevent spread to other patients.
",Maryland Department of Health,https://health.maryland.gov/newsroom/Pages/One-Case-of-Measles-Confirmed-in-Maryland.aspx,Airport,2025-03-26T04:00:00Z,NA,NA,119,M,100,"1 Saarinen Cir, Sterling, Virginia, 20166",PointAddress,"c(-8621433.5223, 4714869.456)",119
Loudoun,"The Maryland Department of Health and Prince George’s County health officials today announced positive cases of measles in two Prince George’s County residents who recently traveled together internationally. These cases are not associated with the recently confirmed measles case in a Howard County resident or the measles outbreak in New Mexico, Texas and Oklahoma. Out of an abundance of caution, health officials are coordinating to identify people who might have been exposed, including contacting potentially exposed passengers on specific flights.",2025-03-05T05:00:00Z,8:00am–12:30pm,"Washington Dulles International Airport (Terminal A, on transportation to the main terminal and in the baggage claim area)",1 Saarinen Circle,Dulles,VA,20166,"What to Do If You Think You May Have Been Exposed 

People, especially those not fully vaccinated or otherwise immune to measles, who were at any of these locations during the possible exposure times should monitor themselves for any early symptoms of measles for 21 days after the potential exposure. 

Exposed individuals who develop a fever or other symptoms of measles should not go to childcare, school, work, or out in public and should contact their health care provider. They should call their health care provider before presenting to a waiting room or emergency department so that the facility can take measures to prevent measles from spreading to others.

If exposure occurred on March 15th or March 17th, non-immune individuals may qualify for post-exposure treatments. People who might have been exposed and are not immune should contact their health care provider or call Prince George's County Health Department’s Infectious Disease Surveillance and Response Program for more guidance at 301-583-3750 during normal business hours or 240-508-5774 after hours and on weekends.

Early symptoms of measles are a fever of more than 101 degrees Fahrenheit, runny nose, cough, and red, watery eyes. Usually, one to four days after the early symptoms, a red rash appears on the face and spreads to the rest of the body. Symptoms typically develop 10 to 14 days after exposure but can develop as soon as seven days and as long as 21 days after exposure. A person with measles is contagious, beginning four days before the rash appears until four days after the rash begins. 

People are generally considered immune to measles if they are up to date on measles vaccination, have had a laboratory confirm they either had measles during their lifetime or are immune to measles, or were born before 1957. 

Virginia residents with questions about their potential exposure can call the Virginia Department of Health at 804-363-2704 or email epi_response@vdh.virginia.gov.

Washington, D.C. residents with questions about their potential exposure can call DC Health at 844-493-2652 or email DOH.Epi@dc.gov.",Maryland Department of Health,https://health.maryland.gov/newsroom/Pages/Two-cases-of-measles-confirmed-in-Maryland-residents-with-recent-international-travel.aspx,Airport,2025-03-26T04:00:00Z,NA,NA,120,M,100,"1 Saarinen Cir, Sterling, Virginia, 20166",PointAddress,"c(-8621433.5223, 4714869.456)",120
Arlington,"The Maryland Department of Health and Prince George’s County health officials today announced positive cases of measles in two Prince George’s County residents who recently traveled together internationally. These cases are not associated with the recently confirmed measles case in a Howard County resident or the measles outbreak in New Mexico, Texas and Oklahoma. Out of an abundance of caution, health officials are coordinating to identify people who might have been exposed, including contacting potentially exposed passengers on specific flights.",2025-03-14T04:00:00Z,12:00pm–2:30pm,Ronald Reagan Washington National Airport (Terminal Shuttle Bus),2401 Smith Blvd,Arlington,VA,22202,"What to Do If You Think You May Have Been Exposed 

People, especially those not fully vaccinated or otherwise immune to measles, who were at any of these locations during the possible exposure times should monitor themselves for any early symptoms of measles for 21 days after the potential exposure. 

Exposed individuals who develop a fever or other symptoms of measles should not go to childcare, school, work, or out in public and should contact their health care provider. They should call their health care provider before presenting to a waiting room or emergency department so that the facility can take measures to prevent measles from spreading to others.

If exposure occurred on March 15th or March 17th, non-immune individuals may qualify for post-exposure treatments. People who might have been exposed and are not immune should contact their health care provider or call Prince George's County Health Department’s Infectious Disease Surveillance and Response Program for more guidance at 301-583-3750 during normal business hours or 240-508-5774 after hours and on weekends.

Early symptoms of measles are a fever of more than 101 degrees Fahrenheit, runny nose, cough, and red, watery eyes. Usually, one to four days after the early symptoms, a red rash appears on the face and spreads to the rest of the body. Symptoms typically develop 10 to 14 days after exposure but can develop as soon as seven days and as long as 21 days after exposure. A person with measles is contagious, beginning four days before the rash appears until four days after the rash begins. 

People are generally considered immune to measles if they are up to date on measles vaccination, have had a laboratory confirm they either had measles during their lifetime or are immune to measles, or were born before 1957. 

Virginia residents with questions about their potential exposure can call the Virginia Department of Health at 804-363-2704 or email epi_response@vdh.virginia.gov.

Washington, D.C. residents with questions about their potential exposure can call DC Health at 844-493-2652 or email DOH.Epi@dc.gov.",Maryland Department of Health,https://health.maryland.gov/newsroom/Pages/Two-cases-of-measles-confirmed-in-Maryland-residents-with-recent-international-travel.aspx,Airport Shuttle,2025-04-04T04:00:00Z,NA,NA,121,M,100,"2401 Smith Blvd, Arlington, Virginia, 22202",PointAddress,"c(-8576333.7628, 4700555.8532)",121
Loudoun,"DC Health was notified of a confirmed case of measles in a Maryland resident who visited multiple locations in the region while contagious. This case is not associated with the ongoing outbreak in Texas and New Mexico. Out of an abundance of caution, DC Health is informing people who were at these locations that they may have been exposed.",2025-03-05T05:00:00Z,4:00pm–9:00pm,Washington Dulles International Airport: international arrivals area,1 Saarinen Circle,Dulles,VA,20166,"What should you do if you were at one of the above locations on the day and time specified?

If you have never received a measles containing vaccine (either the measles, mumps and rubella [MMR] vaccine or a measles only vaccine which is available in other countries), you may be at risk of developing measles. Anyone who was exposed and is at risk of developing measles should watch for symptoms until March 26, 2025. If you notice the symptoms of measles, immediately isolate yourself by staying home and away from others. Contact your healthcare provider immediately. Call ahead before going to your healthcare provider’s office or the emergency room to notify them that you may have been exposed to measles and ask them to call the health department to help protect other patients and staff.
If you have received two doses of a measles containing vaccine, or were born before 1957, you are protected and do not need to take any action.
If you have received only one dose of a measles containing vaccine, you are very likely to be protected and your risk of being infected with measles from any of these exposures is very low. However, to achieve complete immunity, contact your healthcare provider about getting a second vaccine dose.
If you have an immunocompromising condition, please consult with your healthcare provider if you have questions or develop symptoms.
Measles is preventable through a safe and effective MMR vaccine. Two doses of the vaccine are given to provide lifetime protection. However, infants younger than 12 months of age are too young to be vaccinated. These infants, and others who are not vaccinated, are very susceptible to infection if they are exposed to someone with measles. If you or your child have not yet been vaccinated, call DC Health or a healthcare provider to get the first of two doses as soon as possible. To check your immunization status, call your healthcare provider or contact DC Health.

Healthcare providers should maintain an increased index of suspicion for measles in clinically compatible cases at all times, especially if patients were recently exposed. Measles is an immediately reportable disease. Contact DC Health right away to report any suspected cases and arrange for public health testing. Suspected cases can be reported by healthcare providers via telephone at 844-493-2652 or by submitting a Notifiable Disease and Condition Case Report Form online using the DC Reporting and Surveillance Center (DCRC), which can be found on our Infectious Diseases website dchealth.dc.gov/node/143092.

For additional guidance on testing and infection control measures for healthcare providers, visit https://dchealth.dc.gov/page/measles-information-healthcare-providers.

If you have any questions about these potential exposures, please contact DC Health at 844-493-2652 or via email at doh.epi@dc.gov",DC Health,https://dchealth.dc.gov/release/health-officials-investigating-measles-exposures-virginia-and-maryland,Airport,2025-03-26T04:00:00Z,NA,NA,122,M,100,"1 Saarinen Cir, Sterling, Virginia, 20166",PointAddress,"c(-8621433.5223, 4714869.456)",122
Loudoun,DC Health was notified of a confirmed case of measles in a person who visited multiple locations in DC while contagious. DC Health is informing people who were at these locations that they may have been exposed.,2025-03-05T05:00:00Z,8:00am–12:30pm,Washington Dulles International Airport: international arrivals area,1 Saarinen Circle,Dulles,VA,20166,"What should you do if you were at one of the above locations on the day and time specified?

People who might have been exposed and are not immune should contact their health care provider or DC Health at 844-493-2652 for more guidance.
If you have never received a measles containing vaccine (either the measles, mumps and rubella [MMR] vaccine or a measles only vaccine which is available in other countries), you may be at risk of developing measles. Anyone who was exposed and is at risk of developing measles should watch for symptoms until 21 days following the date of their last exposure. If you notice the symptoms of measles, immediately isolate yourself by staying home and away from others. Contact your healthcare provider immediately. Call ahead before going to your healthcare provider’s office or the emergency room to notify them that you may have been exposed to measles and ask them to call the health department to help protect other patients and staff.
If you have received two doses of a measles containing vaccine, or were born before 1957, you are protected and do not need to take any action.
If you have received only one dose of a measles containing vaccine, you are very likely to be protected and your risk of being infected with measles from any of these exposures is very low. However, to achieve complete immunity, contact your healthcare provider about getting a second vaccine dose.
If you have an immunocompromising condition, please consult with your healthcare provider if you have questions or develop symptoms.
Measles is preventable through a safe and effective MMR vaccine. Two doses of the vaccine are given to provide lifetime protection. However, infants younger than 12 months of age are too young to be vaccinated. These infants, and others who are not vaccinated, are very susceptible to infection if they are exposed to someone with measles. If you or your child have not yet been vaccinated, call DC Health or a healthcare provider to get the first of two doses as soon as possible. To check your immunization status, call your healthcare provider or contact DC Health.

Healthcare providers should maintain an increased index of suspicion for measles in clinically compatible cases at all times, especially if patients were recently exposed. Measles is an immediately reportable disease. Contact DC Health right away to report any suspected cases and arrange for public health testing. Suspected cases can be reported by healthcare providers via telephone at 844-493-2652 or by submitting a Notifiable Disease and Condition Case Report Form online using the DC Reporting and Surveillance Center (DCRC), which can be found on our Infectious Diseases website

For additional guidance on testing and infection control measures for healthcare providers, visit DC Health - Measles Information.

If you have any questions about these potential exposures, please contact DC Health at 844-493-2652 or via email at doh.epi@dc.gov",DC Health,https://dchealth.dc.gov/release/health-officials-investigating-possible-measles-exposures-dc,Airport,2025-03-26T04:00:00Z,NA,NA,123,M,100,"1 Saarinen Cir, Sterling, Virginia, 20166",PointAddress,"c(-8621433.5223, 4714869.456)",123
Arlington,DC Health was notified of a confirmed case of measles in a person who visited multiple locations in DC while contagious. DC Health is informing people who were at these locations that they may have been exposed.,2025-03-14T04:00:00Z,12:00pm–2:30pm,Ronald Reagan Washington National Airport (Terminal Shuttle Bus),2401 Smith Blvd,Arlington,VA,22202,"What should you do if you were at one of the above locations on the day and time specified?

People who might have been exposed and are not immune should contact their health care provider or DC Health at 844-493-2652 for more guidance.
If you have never received a measles containing vaccine (either the measles, mumps and rubella [MMR] vaccine or a measles only vaccine which is available in other countries), you may be at risk of developing measles. Anyone who was exposed and is at risk of developing measles should watch for symptoms until 21 days following the date of their last exposure. If you notice the symptoms of measles, immediately isolate yourself by staying home and away from others. Contact your healthcare provider immediately. Call ahead before going to your healthcare provider’s office or the emergency room to notify them that you may have been exposed to measles and ask them to call the health department to help protect other patients and staff.
If you have received two doses of a measles containing vaccine, or were born before 1957, you are protected and do not need to take any action.
If you have received only one dose of a measles containing vaccine, you are very likely to be protected and your risk of being infected with measles from any of these exposures is very low. However, to achieve complete immunity, contact your healthcare provider about getting a second vaccine dose.
If you have an immunocompromising condition, please consult with your healthcare provider if you have questions or develop symptoms.
Measles is preventable through a safe and effective MMR vaccine. Two doses of the vaccine are given to provide lifetime protection. However, infants younger than 12 months of age are too young to be vaccinated. These infants, and others who are not vaccinated, are very susceptible to infection if they are exposed to someone with measles. If you or your child have not yet been vaccinated, call DC Health or a healthcare provider to get the first of two doses as soon as possible. To check your immunization status, call your healthcare provider or contact DC Health.

Healthcare providers should maintain an increased index of suspicion for measles in clinically compatible cases at all times, especially if patients were recently exposed. Measles is an immediately reportable disease. Contact DC Health right away to report any suspected cases and arrange for public health testing. Suspected cases can be reported by healthcare providers via telephone at 844-493-2652 or by submitting a Notifiable Disease and Condition Case Report Form online using the DC Reporting and Surveillance Center (DCRC), which can be found on our Infectious Diseases website

For additional guidance on testing and infection control measures for healthcare providers, visit DC Health - Measles Information.

If you have any questions about these potential exposures, please contact DC Health at 844-493-2652 or via email at doh.epi@dc.gov",DC Health,https://dchealth.dc.gov/release/health-officials-investigating-possible-measles-exposures-dc,Airport Shuttle,2025-04-04T04:00:00Z,NA,NA,124,M,100,"2401 Smith Blvd, Arlington, Virginia, 22202",PointAddress,"c(-8576333.7628, 4700555.8532)",124
Lamoille,"The Vermont Department of Health has confirmed a case of measles in a school-aged child in Lamoille County. The child became sick after returning with their family from traveling internationally in recent days. The risk to the public is believed to be low, as the child has been isolated from most community settings while they have been contagious. Investigation is ongoing. 

This is the first case of measles in Vermont in 2025, following two cases in 2024 and two cases in the decade prior, one in 2011 and one in 2018. This case is not related to the three ongoing domestic outbreaks of measles in the United States or to the current measles outbreak in Québec. 

The positive test result for measles was confirmed the evening of Monday, March 10. One known site of exposure is at Copley Hospital, where the child was evaluated on Sunday, March 9. Copley Hospital has reached out to known visitors to the Emergency Department during that time. ",2025-03-09T05:00:00Z,3:15pm–6:00pm,Copley Hospital Emergency Department,528 Washington Hwy,Morrisville,VT,5661,"he Health Department is asking anyone who was inside the Emergency Department at Copley Hospital in Morrisville, Vermont between 3:15 p.m. and 6 p.m. on Sunday, March 9 to take the following actions: 

Confirm you have evidence of immunity to measles. You can do this by reaching out to your healthcare provider or requesting your vaccination records. In Vermont, you can?follow instructions here: https://www.healthvermont.gov/stats/registries/request-vaccine-records.
If you don’t know or can’t confirm if you have immunity to measles, contact the Health Department at 802-863-7240, option 2 as soon as possible for guidance.?
Everyone who was at the Copley Hospital Emergency Department during that time should monitor for any?symptoms?through Sunday, March 30. Reach out to your health care provider if you develop any symptoms.??DO NOT?go to the doctor’s office, the hospital, or a clinic without?first?calling to let them know about your symptoms and possible exposure to measles.
 
To protect patient confidentiality, the Health Department will not release individual personal health information. The department will continue to provide information that may impact broader public health.  

The Health Department is also urging people in Vermont to make sure their family is vaccinated against measles – especially children. It’s particularly important if you plan to travel outside of the United States. Measles is one of the most contagious diseases and can be dangerous, especially in children younger than 5 years old. About 1 in 5 unvaccinated people in the U.S. who get measles are hospitalized. ",Vermont Department of Health,https://www.healthvermont.gov/media/current-news-releases/vermont-department-health-confirms-case-measles,Healthcare Facility (ER),2025-03-30T04:00:00Z,NA,NA,125,M,100,"528 Washington Hwy, Morrisville, Vermont, 05661",PointAddress,"c(-8080819.3153, 5551486.1315)",125
King,"Seattle & King County was notified yesterday, February 26, 2025, of a confirmed measles case in a King County infant. The infant may have been exposed to measles during recent travel abroad. Exposed individuals should check to make sure they have been vaccinated against measles.",2025-02-20T05:00:00Z,6:00pm–9:00pm,Apple Store at Bellevue Square,213 Bellevue Square,Bellevue,WA,98004,"What to do if you were in a location of potential measles exposure
Most people in our area have immunity to measles through vaccination, so the risk to the general public is low. However, anyone who was in the locations of potential exposure to measles around the times listed should:

Find out if you have been vaccinated for measles or have had measles previously. Make sure you are up to date with the recommended number of measles (MMR) vaccinations.
Call a healthcare provider promptly if you develop an illness with fever or with an unexplained rash. To avoid possibly spreading measles to others, do not go to a clinic or hospital without calling first to tell them you want to be checked for measles after an exposure. And it is also important to limit contact with others, especially those without known immunity, and to wear a well-fitting mask if you do need to go to a healthcare facility.
If you were at the locations at the times listed above and are not immune to measles, the most likely time you would become sick would be between February 27 – March 18, 2025. People with weakened immune systems may take longer to experience symptoms.",Seattle & King County staff,https://publichealthinsider.com/2025/02/27/first-measles-case-of-2025-in-washington-state-identified-in-a-king-county-infant/,Retail Store,2025-03-13T04:00:00Z,NA,NA,126,M,100,"213 Bellevue Sq, Bellevue, Washington, 98004",PointAddress,"c(-13603643.0785, 6043189.5251)",126
Cook,NA,2025-04-27T04:00:00Z,10:00am–12:30pm,Shell,3901 S. Harlem Ave,Stickney,IL,60402,"Individuals who may have been exposed should notify their healthcare provider if they are unsure about prior vaccination. The healthcare provider will determine the need for testing if symptoms develop.

If an exposed individual develops symptoms, they should notify their healthcare provider or a healthcare facility before going to a medical office or emergency department for evaluation to ensure that special arrangements can be made to prevent other patients and medical staff from possible exposure.

Exposed individuals that are unvaccinated against measles, mumps, and rubella (MMR) should talk with their doctor about getting MMR vaccine. It is not harmful to get MMR vaccine after being exposed to measles, mumps, or rubella, and doing so may prevent severe measles if given early enough after exposure.

Most individuals are vaccinated against measles routinely in childhood and are not at high risk. The best defense against measles is vaccination. Two doses of MMR vaccine are 97% effective against measles and generally provide lifelong immunity.

The first dose should be given between 12-15 months of age
The second between the ages of 4-6 years old.
“As public health officials around the state continue to work diligently to guard against further spread of measles, we are reminded again that being fully immunized remains the best and most effective way for everyone to protect themselves and those they love,” said IDPH Director Dr. Sameer Vohra. “The MMR vaccine is safe and effective. We encourage anyone who is unvaccinated, or under-vaccinated, to speak with their medical provider and take appropriate steps to get up to date on the recommended shots.”

“We are experiencing a resurgence of measles in the United States, despite the fact that two doses of the MMR vaccine can prevent it. Misinformation has contributed to declining vaccination rates and fueled recent outbreaks. The MMR vaccine has been in use for over 50 years, is highly effective, and has protected millions of lives,” said Interim CCDPH Chief Operating Officer Dr. Kiran Joshi.

“Chicago is no stranger to measles after our outbreak last spring and having contained it once we know we can do it again,” said Dr. Olusimbo Ige, CDPH Commissioner. “The MMR vaccine is an extremely effective tool for combatting illness and saving lives in our community, it’s never too late to get vaccinated and protect yourself from measles.”

About Measles- Measles is a highly contagious respiratory disease that spreads easily through the air when an infected person breathes, coughs or sneezes. Measles is so contagious that if one person has it, 90 percent of the people close to that person who are not immune will also become infected with the measles virus. Complications from measles can lead to pneumonia, seizures, hearing loss, life-long brain damage and death.

The virus can linger in a room for up to two hours and can be especially dangerous for babies and young children, pregnant women, and people with compromised immune systems.

Measles Symptoms – Measles symptoms appear up to 21 days following exposure. Symptoms of measles include rash, high fever, cough, runny nose, and red, watery eyes. The rash usually begins on the face and spreads to the trunk. A person is generally contagious the four days before and four days after the onset of a rash.

Where to Get Vaccinated- To make an appointment for measles vaccination at a Cook County Health community health center in Chicago or suburban Cook County call 833-308-1988.

Unvaccinated individuals who do not have a healthcare provider are encouraged to contact Cook County Health   at 833-308-1988 to schedule a vaccination appointment.

Chicago Department of Public Health (CDPH) offers free MMR vaccinations for anyone who needs them, regardless of insurance status, at CDPH Immunization Clinics  throughout the city. Walk-ins are welcome, but registration is highly encouraged. Create an account and register for an appointment at getvaxchi.chicago.gov  or by calling the clinic.

Check Your Vaccination History – The CDC recommends two doses of the MMR vaccine for lifelong protection. If unsure, you can check your vaccine history. Immunization records recorded in the Illinois immunization registry can be accessed using the Illinois Department of Public Health Vax Verify portal .

Consider Your Age & Timing – If you were vaccinated before 1968, check with your healthcare provider about a revaccination. A blood test can confirm if you still have immunity. Talk to your healthcare provider if you’re unsure.

Assess Exposure & Risk – If you got just one dose, have a weakened immune system, or have been exposed to an outbreak, consult a healthcare provider about immunization.

Protect Yourself from Misinformation- Vitamin A is not a substitute for vaccination. Vitamin A supplementation does not prevent measles infection. It can help reduce the severity of measles symptoms—particularly in malnourished children or those with vitamin A deficiency—but only after infection has occurred. According to the CDC, vitamin A may be used as part of supportive care for measles in some patients, under medical supervision. However, relying on vitamin A instead of vaccination puts individuals and communities at risk of serious infections and disease spread.

Traveling Out of the Country- Individuals who are traveling out of the country, including children over the age of 6 months, should talk to their healthcare provider about whether an additional dose of MMR vaccine is recommended before travel.

People who are frequently around international travelers, such as individuals who work at airports or taxi and rideshare drivers, should also be sure to double check their vaccination status, as their risk of exposure to measles is heightened.

Learn more about Measles and download fact sheets in multiple languages visit: Measles – Cook County Department of Public Health or learn more at the CDC. ",Cook County Health Department,https://cookcountypublichealth.org/2025/04/30/public-health-officials-confirm-two-measles-cases-in-cook-county/?utm_source=substack&utm_medium=email,Gas Station,2025-05-18T04:00:00Z,NA,NA,127,M,100,"3901 S Harlem Ave, Berwyn, Illinois, 60402",PointAddress,"c(-9774073.0435, 5134173.9878)",127
